iter	Passed	Remaining
0	0	65
1	1	57
2	1	54
3	2	49
4	2	49
5	3	48
6	3	47
7	4	47
8	4	46
9	5	45
10	5	45
11	6	44
12	6	44
13	7	44
14	7	43
15	8	43
16	8	42
17	9	41
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	18	33
35	18	32
36	19	32
37	19	31
38	20	31
39	20	30
40	21	30
41	21	29
42	21	28
43	22	28
44	22	28
45	23	27
46	23	27
47	24	26
48	25	26
49	25	25
50	26	24
51	26	24
52	27	24
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
