iter	Passed	Remaining
0	0	823
1	1	827
2	2	771
3	2	726
4	3	704
5	4	689
6	4	679
7	5	670
8	6	663
9	6	654
10	7	646
11	7	641
12	8	636
13	8	633
14	9	629
15	10	629
16	10	627
17	11	623
18	12	621
19	12	622
20	13	624
21	14	624
22	14	627
23	15	626
24	16	627
25	16	625
26	17	623
27	17	622
28	18	620
29	19	618
30	19	616
31	20	615
32	20	614
33	21	612
34	22	611
35	22	610
36	23	608
37	23	606
38	24	605
39	25	604
40	25	603
41	26	601
42	27	605
43	27	606
44	28	607
45	29	607
46	29	607
47	30	606
48	31	605
49	31	604
50	32	603
51	33	602
52	33	601
53	34	599
54	34	599
55	35	597
56	36	596
57	36	595
58	37	593
59	37	593
60	38	592
61	39	591
62	39	590
63	40	588
64	40	588
65	41	587
66	42	587
67	42	587
68	43	588
69	44	588
70	44	587
71	45	586
72	46	585
73	46	584
74	47	583
75	47	581
76	48	580
77	49	579
78	49	578
79	50	577
80	50	576
81	51	575
82	51	571
83	52	570
84	53	570
85	53	569
86	54	569
87	54	568
88	55	567
89	56	566
90	56	565
91	57	564
92	57	565
93	58	566
94	59	566
95	60	565
96	60	564
97	61	564
98	61	563
99	62	562
100	63	561
101	63	560
102	64	559
103	64	559
104	65	557
105	66	556
106	66	556
107	67	555
108	67	555
109	68	554
110	69	553
111	69	553
112	70	552
113	70	551
114	72	554
115	72	553
116	73	552
117	73	552
118	74	551
119	75	550
120	75	549
121	76	548
122	76	547
123	77	546
124	78	547
125	78	546
126	79	545
127	79	543
128	80	542
129	80	541
130	81	540
131	81	538
132	82	537
133	82	535
134	83	534
135	83	533
136	84	531
137	84	530
138	85	529
139	86	528
140	86	527
141	86	524
142	87	523
143	87	522
144	88	521
145	89	520
146	89	520
147	90	519
148	90	518
149	91	517
150	91	515
151	92	514
152	92	513
153	93	512
154	93	511
155	94	509
156	94	508
157	95	507
158	95	506
159	96	505
160	96	503
161	97	502
162	97	501
163	98	500
164	98	499
165	99	498
166	99	497
167	100	495
168	100	494
169	101	493
170	101	492
171	102	491
172	103	492
173	103	491
174	104	491
175	104	490
176	105	489
177	105	488
178	106	487
179	106	487
180	107	486
181	108	485
182	108	484
183	109	483
184	109	482
185	110	481
186	110	480
187	111	479
188	111	478
189	112	477
190	112	476
191	113	475
192	113	475
193	114	474
194	114	473
195	115	472
196	115	471
197	116	470
198	116	469
199	117	470
200	118	470
201	119	470
202	119	469
203	120	469
204	120	468
205	121	467
206	121	466
207	122	465
208	122	464
209	123	463
210	123	463
211	124	462
212	124	461
213	125	460
214	125	459
215	126	458
216	126	457
217	127	456
218	127	455
219	128	454
220	128	454
221	129	453
222	129	452
223	130	451
224	130	450
225	131	449
226	131	449
227	132	448
228	133	448
229	134	448
230	134	448
231	135	447
232	135	447
233	136	446
234	136	445
235	137	444
236	137	444
237	138	443
238	138	442
239	139	441
240	140	441
241	140	440
242	141	439
243	141	438
244	142	437
245	142	437
